rowid	retrieved	component	gene	domain	cath	kingdom	host	enzyme_name	substrate	EC	reference	pazy_accession	BLAST_link	pdb_accession	uniprot_accession	retrieved_name	retrieved_host	synthesized	enzymatic_activity
18	AKJ29164.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Vibrio gazogenes	PET6; BSQ33_03270	PET	EC 3.1.1.1	Danso, 2018; Chen, 2021; Avilan,2023	A0A0G3BI90_9BURK	AKJ29164.1	-	A0A0G3BI90_9BURK	triacylglycerol lipase	Caldimonas brevitalea	FALSE	TRUE
19	ANP21910.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Pseudomonas oleovorans DSM 50188	PpCutA; PoCut	PET	EC 3.1.1.74	Haernvall, 2017	KU695573	ANP21910.1	-	A0A1B0Z6Y3	lipase	Halopseudomonas pelagia	FALSE	TRUE
20	ASA57064.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Oleispira antarctica RB-8	PET5; LipA	PET	EC 3.1.1.1	Danso, 2018	A0A1Z2SIQ1_VIBGA	ASA57064.1	7Z6B	A0A1Z2SIQ1_VIBGA	hypothetical protein BSQ33_03270	Vibrio gazogenes	FALSE	TRUE
21	BAB86909.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Acidovorax delafieldii Strain BS-3	PbsA	PBS	-	Uchida, 2001	BAB86909	BAB86909.1	-	Q8RR62	PBS(A) depolymerase	Acidovorax delafieldii	FALSE	TRUE
22	BAI99230.2	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobifida alba AHK119	Est1; Enzyme 708	PET; PBAT	EC 3.1.1.1	Hu, 2010; Erickson, 2022; Thumarat, 2015	BAI99230	BAI99230.2	-	D4Q9N1	esterase	Thermobifida alba	FALSE	TRUE
23	BAK48590.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobifida alba AHK119	Est119; Est2	PET; PLA; PBAT	EC 3.1.1.1	Hu, 2010, Kitadokoro, 2019; Thumarat, 2012	F7IX06	BAK48590.1	6AID	F7IX06	esterase	Thermobifida alba	FALSE	TRUE
24	BAO42836.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Saccharomonospora viridis AHK190	Cut190	PET	EC 3.1.1.74	Miyakawa, 2014; Kawai, 2014; Oda, 2018	W0TJ64	BAO42836.1	4WFK	W0TJ64	cutinase	Saccharomonospora viridis	FALSE	TRUE
25	CAH17554.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobifida fusca DSM43793	BTA-2; TfH	PET	EC 3.1.1.74	Dresler, 2006; Müller 2005; Kleeberg 1998; 2005	AJ810119	Q6A0I3	-	Q6A0I3	BTA-hydrolase 2	Thermobifida fusca	FALSE	TRUE
26	CBY05530.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobifida fusca	TfCut_2; Cut-2.kw3	PET; PUR	EC 3.1.1.74	Furukawa, 2019, Roth, 2014; Wei 2016; Schmidt, 2017	E5BBQ3_THEFU	CBY05530.1	4CG1	E5BBQ3_THEFU	cutinase	Thermobifida fusca	FALSE	TRUE
27	D4Q9N1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobifida alba AHK119	Est1	PLA	-	Hu, 2010, Kitadokoro, 2019	D4Q9N1	-	-	D4Q9N1	Cutinase est1	Thermobifida alba	FALSE	TRUE
28	DAC80635.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Streptomyces sp.	SM14; SM14est	PET	-	Almeida, 2019; Carr, 2023	DAC80635	DAC80635.1	-	A0A679PDB4	alpha/beta hydrolase	Streptomyces sp. SM14	FALSE	TRUE
29	E5BBQ2	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobifida fusca	TfCut_1; Cut-1.kw3	PET	EC 3.1.1.101	Herrero Acero, 2011	E5BBQ2	E5BBQ2	-	E5BBQ2	E5BBQ2_THEFU Poly(ethylene terephthalate) hydrolase	Thermobifida fusca	FALSE	TRUE
30	E9LVH8	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobifida cellulosilytica	Thc_cut1	PLA	-	Herrereo Acero, 2011, Ribitsch 2017	E9LVH8	-	-	E9LVH8	Cutinase 1	Thermobifida cellulosilytica	TRUE	TRUE
31	E9LVH9	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobifida cellulosilytica	Thc_cut2	PLA	-	Herrereo Acero, 2011, Ribitsch 2017	E9LVH9	-	5LUJ	E9LVH9	Cutinase 2	Thermobifida cellulosilytica	FALSE	TRUE
32	EGD44994.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Nocardioidaceae bacterium	Enzyme 503 like	PET	-	Erickson, 2022	EGD44994.1	EGD44994.1	-	E9UPM2	lipase 1 (Triacylglycerol lipase)	Nocardioidaceae bacterium Broad-1	TRUE	TRUE
33	G9BY57.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	LCC leaf compost metagenome	HRB29-GBD22443 like	PET; PUR	EC 3.1.1.74	Sulaiman, 2012; Shirke, 2018; Tournier, 2020; Schmidt, 2017	G9BY57	G9BY57.1	4EBO	G9BY57	Leaf-branch compost cutinase	-	FALSE	TRUE
34	GBD22443.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	HR29	LCC-like	PET	EC 3.1.1.74	Xi, 2021	GBD22443	GBD22443.1	7EOA	A0A2H5Z9R5	Poly(ethylene terephthalate) hydrolase	bacterium HR29	FALSE	TRUE
35	MBO9320024.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Metagenome	Metagenome	Enzyme 214 like	PET	-	Erickson, 2022	YNPsite06_CeleraDRAFT_160970	-	-	-	alpha/beta fold hydrolase	Chloroflexus sp.	FALSE	TRUE
36	MBQ0729274.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Oleispira antarctica	PETase	PET	EC 3.1.1.1	Danso, 2018, Blasquez-Sanchez, 2021	R4YKL9_OLEAN	MBQ0729274.1	-	R4YKL9_OLEAN	dienelactone hydrolase family protein	Oleispira antarctica	FALSE	TRUE
37	MBS7639053.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Metagenome	Metagenome	Enzyme 211 like	PET	-	Erickson, 2022	JzSedJan11_10004914	-	-	-	alpha/beta fold hydrolase	Candidatus Bathyarchaeota archaeon	FALSE	TRUE
38	MCS7037955.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Metagenome	Metagenome	Enzyme 301 like	PET	-	Erickson, 2022	YNPsite06_CeleraDRAFT_367810	-	-	-	alpha/beta hydrolase	Saprospiraceae bacterium	FALSE	TRUE
39	MDT7859148.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Metagenome	Metagenome	Enzyme 307 like	PET	-	Erickson, 2022	JGI20132J14458_10325381	-	-	-	alpha/beta fold hydrolase	Candidatus Aenigmarchaeota archaeon	FALSE	TRUE
40	MEC8523093.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Pseudomonadota bacterium	dsPETase05	PET	-	Chen, 2024	MEC8523093.1	MEC8523093.1	-	-	hypothetical protein VXZ24_02475	Pseudomonadota bacterium	FALSE	TRUE
41	ODU60407.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Ketobacter alkanivorans	Enzyme 412	PET	-	Erickson, 2022	ODU60407.1	ODU60407.1	-	-	ABT02_06340	Comamonadaceae bacterium SCN 68-20	FALSE	TRUE
42	OGB27210.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Aquabacterium parvum	ApLip-Ec	PET	-	Chen, 2021; Chen, 2021;Sagong, 2022; Huang, 2023	A0A1F4JXW8	OGB27210	7CWG	A0A1F4JXW8	A3I66_11710	Burkholderiales bacterium RIFCSPLOWO2_02_FULL_57_36	FALSE	TRUE
43	P19833.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Pseudomonas alcaligenes	PaCut	PET	EC 3.1.1.3	Blasquez-Sanchez, 2021	P19833	P19833.1	8SPK	P19833	Lipase 1	-	FALSE	TRUE
44	Q47RJ6.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobifida fusca YX	WSH03-11; Tfu_0883	PET	EC 3.1.1.74	Chen, 2008; Su, 2013; Lykidis, 2007	Q47RJ6_THEFY	Q47RJ6	-	Q47RJ6_THEFY	Cutinase	-	FALSE	TRUE
45	Q47RJ7.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobifida fusca YX	WSH03-11; Tfu_0882	PET	EC 3.1.1.74	Chen, 2008	Q47RJ7_THEFY	Q47RJ7	-	Q47RJ7_THEFY	Cutinase	-	FALSE	TRUE
46	Q6A0I4.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobifida fusca DSM43793	BTA-1; TfH	PET	EC 3.1.1.74	Dresler, 2006; Müller 2005; Kleeberg 1998; 2005	Q6A0I4	Q6A0I4	5ZOA	Q6A0I4	Acetylxylan esterase	-	FALSE	TRUE
47	Q8RR62	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Caldimonas taiwanensis+D57	CtPL; Enzyme 504	PET	EC 3.1.1.1	Avilan, 2023	Q8RR62	-	-	Q8RR62	PBS(A) depolymerase	Acidovorax delafieldii	FALSE	TRUE
48	RGD93181.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Clostridiales bacterium AM23-16LB	HG-3	PET	-	Zhou, 2024	RGD93181	RGD93181	-	-	alpha/beta fold hydrolase	Clostridiales bacterium AM23-16LB	FALSE	TRUE
49	RLI42440.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Archaea	Candidatus Bathyarchaeota archaeon	PET46	PET	EC 3.1.1.73	Perez-Garcia, 2023	RLI42440.1	RLI42440.1	8B4U	A0A497NK85	alpha/beta hydrolase	Candidatus Bathyarchaeota archaeon	FALSE	TRUE
50	RLT92980.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Ketobacter sp.	Enzyme 403	PET	-	Erickson, 2022	RLT92980.1	RLT92980.1	-	A0A3L8BDT3	D9N14_19170	Ketobacter sp.	FALSE	TRUE
51	RLU00646.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Rhizobacter gummiphilus	RgCut-II	PET	-	Erickson, 2022	RLU00646.1	RLU00646.1	-	A0A3L8BW54	alpha/beta hydrolase	Ketobacter sp.	FALSE	TRUE
52	SAY37579.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Compost metagenome	PHL-11	PET	-	Sonnendecker, 2022	SAY37579.1	SAY37579.1	-	-	Hydrolase 1	compost metagenome	FALSE	TRUE
53	SAY37582.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Compost metagenome	PHL-21	PET	-	Sonnendecker, 2022	SAY37582.1	SAY37582.1	-	-	Hydrolase 2	compost metagenome	FALSE	TRUE
54	SAY37583.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Compost metagenome	PHL-31	PET	-	Sonnendecker, 2022	SAY37583.1	SAY37583.1	-	-	Hydrolase 3	compost metagenome	TRUE	TRUE
55	SAY37584.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Metagenome	Compost metagenome	PHL-41	PET	-	Sonnendecker, 2022	SAY37584.1	SAY37584.1	-	-	Hydrolase 4	compost metagenome	FALSE	TRUE
56	SAY37587.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Metagenome	Compost metagenome	PHL-51	PET	-	Sonnendecker, 2022	SAY37587.1	SAY37587.1	-	-	Hydrolase 5	compost metagenome	FALSE	TRUE
57	SAY37589.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Metagenome	Compost metagenome	PHL-61	PET	-	Sonnendecker, 2022	SAY37589.1	SAY37589.1	-	-	Hydrolase 6	compost metagenome	FALSE	TRUE
58	SHM40309.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Cryptosporangium aurantiacum	CaPETase	PET	-	Hong, 2023	SHM40309.1	SHM40309.1	7YM9	A0A1M7II12	SAMN05443668_101498	Cryptosporangium aurantiacum	FALSE	TRUE
59	SUD16364.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Halopseudomonas bauzanensis	PbauzCut	PET	EC 3.1.1.1	Avilan, 2023	SUD16364.1	SUD16364.1	-	-	Lipase 1	Aquipseudomonas alcaligenes	FALSE	TRUE
60	UUT36763.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Marinobacter sp.	PLE628	PET; PBAT	EC 3.1.1.1	Meyer Cifuentes, 2022	OK558824	UUT36763.1		-	hypothetical protein	Marinobacter sp.	FALSE	TRUE
61	UUT36764.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Caldimonas brevitalea	PET12; PbCut; SbCut; AAW51_2473	PET; PBAT	EC 3.1.1.1	Meyer Cifuentes, 2022	OK558825	UUT36764.1	7VMD	-	hypothetical protein	Marinobacter sp.	TRUE	TRUE
62	WAU86704.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Amycolatopsis bacterium	PET40	PET	-	Zhang, 2023	WAU86704.1	WAU86704.1	8A2C	-	PET40	synthetic construct	FALSE	TRUE
63	WNY00484.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Pseudomonas sp.	GlacPETase	PET	-	Qi, 2023	-	-	-	-	GlacPETase	Pseudomonas sp.	FALSE	TRUE
64	WOR09923.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Microbispora sp.	SIBER-1	PET	-	Tiong, 2023	WOR09923	WOR09923	-	-	alpha/beta hydrolase	synthetic construct	FALSE	TRUE
65	WP_013858543.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Heyndrickxia coagulans	HG-4	PET	-	Zhou, 2024	WP_013858543.1	WP_013858543.1	-	A0A150JTB6	carboxylesterase	Heyndrickxia	TRUE	TRUE
66	WP_036989706.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Pseudomonas saudimassiliensis	PsCut	PET	EC 3.1.1.1	Avilan, 2023	A0A031MKR8	WP_036989706.1	8AIT	A0A031MKR8	dienelactone hydrolase family protein	Halopseudomonas	FALSE	TRUE
67	WP_039353427.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Kaistella (Chryseobacterium) jeonii	PET30	PET	EC 3.1.1.1	Zhang, 2022	WP_039353427	WP_039353427.1	7PZJ	A0A0C1F4U8	type A sorting domain-containing protein	Kaistella jeonii	FALSE	TRUE
68	WP_044499735.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Pseudomonas  mendocina ATCC 53552	PmC	PET	EC 3.1.1.1	Avilan, 2023	A0A078MGG8	WP_044499735.1	8AIS	A0A078MGG8	dienelactone hydrolase family protein	Pseudomonas saudimassiliensis	FALSE	TRUE
69	WP_058088494.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Acidovorax delafieldii	AdCut	PET	-	Ho, 2023	WP_058088494.1	WP_058088494.1	-	-	lipase	Aquabacterium parvum	FALSE	TRUE
70	WP_062195544.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Comamonadaceae bacterium	Enzyme 406	PET	-	Chen, 2021; Erickson, 2022	WP_062195544.1	WP_062195544.1	-	-	alpha/beta hydrolase-fold protein	Caldimonas taiwanensis	FALSE	TRUE
71	WP_068824797.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Pseudomonas sp. JM16B3	jmPE14	PBAT	-	Zhou, 2024	WP_068824797.1	WP_068824797.1	-	-	dienelactone hydrolase family protein	Pseudomonas sp. BMS12	FALSE	TRUE
72	WP_078759821.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Marinactinospora thermotolerans	MtCut; Enzyme 606	PET	-	Liu et al. 2022 Erickson, 2022,	WP_078759821.1	WP_078759821.1	7QJO	-	dienelactone hydrolase family protein	Marinactinospora thermotolerans	FALSE	TRUE
73	WP_082414832.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Actinobacteria bacterium OK074	Enzyme 405	PET	-	Erickson, 2022	WP_082414832.1	WP_082414832.1	-	-	dienelactone hydrolase family protein	Actinobacteria bacterium OK074	FALSE	TRUE
74	WP_083947829.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobifida cellulosilytica	Enzyme 711	PET	-	Erickson, 2022	WP_083947829.1	WP_083947829.1	7QJT	-	serine aminopeptidase domain-containing protein	Thermobifida cellulosilytica	FALSE	TRUE
75	WP_085749238.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Rhizobacter gummiphilus NS21	RgPETase; RgCut-I	PET	EC 3.1.1.1	Avilan, 2023	WP_085749238.1	WP_085749238.1	8AIR	-	hypothetical protein	Piscinibacter gummiphilus	FALSE	TRUE
76	WP_088276085.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Pseudomonas pelagia DSM 25163	PpelaLip	PET	EC 3.1.1.1	Bollinger, 2020	A0A1H6AD45	WP_088276085.1	6SBN	A0A1H6AD45	dienelactone hydrolase family protein	Halopseudomonas aestusnigri	FALSE	TRUE
77	WP_090538641.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Halopseudomonas formosensis	Hfor_PE-H	PUR	-	de Witt, 2023	WP_090538641.1	WP_090538641.1	-	-	dienelactone hydrolase family protein	Halopseudomonas formosensis	FALSE	TRUE
78	WP_093412886.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Saccharopolyspora flava	Enzyme 611	PET	-	Erickson, 2022	WP_093412886.1	WP_093412886.1	7QJP	-	dienelactone hydrolase family protein	Saccharopolyspora flava	FALSE	TRUE
79	WP_101893509.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Ketobacter sp.	Enzyme 409	PET	-	Erickson, 2022	WP_101893509.1	WP_101893509.1	-	-	dienelactone hydrolase family protein	Ketobacter alkanivorans	FALSE	TRUE
80	WP_104613137.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Thermobifida fusca	Enzyme 701	PET	-	Erickson, 2022	WP_104613137.1	WP_104613137.1	-	-	dienelactone hydrolase family protein	Thermobifida fusca	FALSE	TRUE
81	WP_107095481.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Actinobacteria bacterium OV320	Enzyme 607	PET	-	Erickson, 2022	WP_107095481.1	WP_107095481.1	-	-	alpha/beta hydrolase	Actinobacteria bacterium OV320	FALSE	TRUE
82	WP_111881932.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Aequorivita sp. CIP111184	PET27	PET	EC 3.1.1.1	Zhang, 2022	WP_111881932	WP_111881932	-	-	type A sorting domain-containing protein	Aequorivita sp. CIP111184	FALSE	TRUE
83	WP_117215036.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Allorhizocoloa rhizosphaerae	Enzyme 407	PET	-	Erickson, 2022	WP_117215036.1	WP_117215036.1	-	-	carbohydrate-binding protein	Allorhizocola rhizosphaerae	FALSE	TRUE
84	WP_118011433.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Holdemanella biformis	HG-2	PET	-	Zhou, 2024	WP_118011433	WP_118011433	-	-	alpha/beta hydrolase	Holdemanella biformis	TRUE	TRUE
85	WP_187147021.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Metagenome	Metagenome	Enzyme 204 like	PET	-	Erickson, 2022	YNP18_240440	-	-	-	alpha/beta hydrolase	Thermofilum adornatum	FALSE	TRUE
86	WP_277688239.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Pseudomonas sp. JM16B3	jmPE13	PET; PBAT	-	Zhou, 2024	-	-	-	-	hypothetical protein	Pseudomonas sp. GOM6	FALSE	TRUE
87	XCO66867.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Aeromicrobium sp.	PurH	PUR	-	Zhang, 2024	XCO66867	XCO66867	-	-	PurH	Aeromicrobium sp.	FALSE	TRUE
88	XDS72785.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Geothermal metagenome	Sis	PET	-	Ercolano, 2024	XDS72785.1	XDS72785.1	-	-	thermophilic PET hydrolase	uncultured bacterium	FALSE	TRUE
89	ACC95208.1	1	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Metagenome	Metagenome	PET2; lipIAF5-2	PET	EC 3.1.1.1	Danso, 2018, Nakamura, 2021	ACC95208.1	ACC95208.1	7ECB	ACC95208.1	lipIAF5-2	uncultured bacterium	FALSE	TRUE
90	2FX5	20	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Halopseudomonas aestusnigri VGXO14	PE-H; B7O88_11480	PET	EC 3.1.1.3	Ronkvist, 2009	N20M5AZM016	2FX5	2FX5	A4Y035	A lipase	-	FALSE	TRUE
91	A0A291HVH1	21	Ipet	Alpha/Beta Hydrolase	3.40.50.1820	Bacteria	Laceyella sacchari	LP175	PLA	-	Hanphakphoom, 2014	A0A291HVH1	-	-	A0A291HVH1	Poly(L-lactide)-degrading enzyme	Laceyella sacchari	FALSE	TRUE
